name,type,state,county,city,zip
Jersey City Police,Local police department,NJ,Hudson,Jersey City,07302
Pittsburgh Police Department,Local police department,PA,Allegheny,Pittsburgh,15233
Kentucky State Police,Primary state law enforcement agency,KY,Franklin,Frankfort,40601
Pinellas County Sheriff's Office,Sheriff's office,FL,Pinellas,Largo,33779
San Francisco Sheriff's Department,Sheriff's office,CA,San Francisco,San Francisco,94102
Mesa Police Department,Local police department,AZ,Maricopa,Mesa,85201
Fresno Police Department,Local police department,CA,Fresno,Fresno,93721
Tulsa Police Department,Local police department,OK,Tulsa,Tulsa,74103
Jefferson Parish Sheriff's Office,Sheriff's office,LA,Jefferson,Harvey,70058
Oklahoma Department of Public Safety,Primary state law enforcement agency,OK,Oklahoma,"Okla. City,",73136
Birmingham Police Department,Local police department,AL,Jefferson,Birmingham,35203
Virginia Beach Police Department,Local police department,VA,Virginia Beach City,Virginia Beach,23456
Oakland County Sheriff's Office,Sheriff's office,MI,Oakland,Pontiac,48341
Buffalo Police Department,Local police department,NY,Erie,Buffalo,14202
St. Louis County Police Dept,Local police department,MO,St. Louis,St Louis,63105
Oakland Police Department,Local police department,CA,Alameda,Oakland,94607
Norfolk Police Department,Local police department,VA,Norfolk City,Norfolk,23510
Maricopa County Sheriff's Office,Sheriff's office,AZ,Maricopa,Phoenix,85003
Alabama Department of Public Safety,Primary state law enforcement agency,AL,Montgomery,Montgomery,36102
Orlando Police Department,Local police department,FL,Orange,Orlando,32801
Ventura County Sheriff's Office,Sheriff's office,CA,Ventura,Ventura,93009
Richmond Police Department,Local police department,VA,Richmond City,Richmond,23220
Omaha Police Dept,Local police department,NE,Douglas,Omaha,68102
Colorado State Patrol,Primary state law enforcement agency,CO,Jefferson,Lakewood,80215
Marion County Sheriff's Office,Sheriff's office,IN,Marion,Indianapolis,46204
King County Sheriff's Office,Sheriff's office,WA,King,Seattle,98104
Rochester Police Department,Local police department,NY,Monroe,Rochester,14614
Raleigh Police Department,Local police department,NC,Wake,Raleigh,27602
Sacramento Police Department,Local police department,CA,Sacramento,Sacramento,95822
New York State Metropolitan Transportation Authority Police,Special jurisdiction,NY,New York,New York,10017
Gwinnett County Police Department,Local police department,GA,Gwinnett,Lawrenceville,30045
Contra Costa County Sheriff's Office,Sheriff's office,CA,Contra Costa,Martinez,94553
Iowa Department of Public Safety,Primary state law enforcement agency,IA,Polk,Des Moines,50319
Colorado Springs Police Department,Local police department,CO,El Paso,Colorado Springs,80901
West Virginia State Police,Primary state law enforcement agency,WV,Kanawha,South Charleston,25309
Wichita Police Department,Local police department,KS,Sedgwick,Wichita,67202
Delaware State Police,Primary state law enforcement agency,DE,Kent,Dover,19903
