name,type,state,county,city,zip
Walker County Sheriff's Office,Sheriff's office,AL,Walker,Jasper,35501
Powder Springs Police Dept,Local police department,GA,Cobb,Powder Springs,30127
Chicago Ridge Police Dept,Local police department,IL,Cook,Chicago Ridge,60415
Sanger Police Department,Local police department,CA,Fresno,Sanger,93657
Princeton Township Police,Local police department,NJ,Mercer,Princeton,08540
Middle Tennessee State University Police,Special jurisdiction,TN,Rutherford,Murfreesboro,37132
Spring Branch I.S.D. Police Dept.,Special jurisdiction,TX,Harris,Houston,77024
Sedona Police Department,Local police department,AZ,Yavapai,Sedona,86336
Sand Springs Police Department,Local police department,OK,Tulsa,Sand Springs,74063
Lemoore Police Department,Local police department,CA,Kings,Lemoore,93245
Delran Township Police,Local police department,NJ,Burlington,Delran,08075
Brookfield Police Department,Local police department,CT,Fairfield,Brookfield,06804
Nevada DMV - Compliance Enforcement Division,Special jurisdiction,NV,Carson City,Carson City,89706
Ramsey Police,Local police department,NJ,Bergen,Ramsey,07446
Florida City Police Department,Local police department,FL,Miami-Dade,Florida City,33034
Douglas Police Department,Local police department,GA,Coffee,Douglas,31533
Atascadero Police Department,Local police department,CA,San Luis Obispo,Atascadero,93422
Grundy County Sheriff's Office,Sheriff's office,IL,Grundy,Morris,60450
Nevada Capitol Police,Special jurisdiction,NV,Carson City,Carson City,89701
University of Mississippi Police Department,Special jurisdiction,MS,Lafayette,University,38677
Groton (City) Police Department,Local police department,CT,New London,Groton,06340
San Diego State University,Special jurisdiction,CA,San Diego,San Diego,92182
Val Verde County Sheriff's Office,Sheriff's office,TX,Val Verde,Del Rio,78841
Bal Harbour Village Police Department,Local police department,FL,Miami-Dade,Bal Harbour,33154
Montclair State University Police,Special jurisdiction,NJ,Essex,Upper Montclair,07043
San Jose State University,Special jurisdiction,CA,Santa Clara,San Jose,95192
Derby Police Department,Local police department,CT,New Haven,Derby,06418
Lassen County Sheriff's Office,Sheriff's office,CA,Lassen,Susanville,96130
Hasbrouck Heights Police,Local police department,NJ,Bergen,Hasbrouck Heights,07604
Jefferson County Sheriff's Office,Sheriff's office,OH,Jefferson,Steubenville,43952
Miami Police Department,Local police department,OK,Ottawa,Miami,74355
Hays Police Department,Local police department,KS,Ellis,Hays,67601
Cudahy Police Department,Local police department,WI,Milwaukee,Cudahy,53110
Mercer Island Department of Public Safety,Local police department,WA,King,Mercer Island,98040
Moses Lake Police Department,Local police department,WA,Grant,Moses Lake,98837
Bethany Police Department,Local police department,OK,Oklahoma,Bethany,73008
South Amboy Police,Local police department,NJ,Middlesex,S. Amboy,08879
Union Parish Sheriff's Office,Sheriff's office,LA,Union,Farmerville,71241
Lemont Police Dept,Local police department,IL,Cook,Lemont,60439
Kings Mountain Police Department,Local police department,NC,Cleveland,Kings Mountain,28086
Warm Springs Tribal Police Department,Local police department,OR,Jefferson,Warm Springs,97761
Buffalo State College Police,Special jurisdiction,NY,Erie,Buffalo,14222
Saginaw Chippewa Tribal Police Department,Local police department,MI,Isabella,Mount Pleasant,48858
Burlington County Bridge Commission Police,Special jurisdiction,NJ,Burlington,Palmyra,08065
Great Bend Police Department,Local police department,KS,Barton,Great Bend,67530
Fulton County Sheriff's Office,Sheriff's office,NY,Fulton,Johnstown,12095
Colusa County Sheriff's Office,Sheriff's office,CA,Colusa,Colusa,95932
Clay County Sheriff's Office,Sheriff's office,IN,Clay,Brazil,47834
South River Police,Local police department,NJ,Middlesex,South River,08882
Hope Mills Police Department,Local police department,NC,Cumberland,Hope Mills,28348
Ephrata Police Department,Local police department,PA,Lancaster,Ephrata,17522
Talbot County Sheriff's Office,Sheriff's office,MD,Talbot,Easton,21601
Plymouth Township Police Department,Local police department,MI,Wayne,Plymouth,48170
South Elgin Police Dept,Local police department,IL,Kane,South Elgin,60177
Hollister Police Department,Local police department,CA,San Benito,Hollister,95023
Lackawanna County Sheriff's Office,Sheriff's office,PA,Lackawanna,Scranton,18503
Kewaunee County Sheriff's Office,Sheriff's office,WI,Kewaunee,Kewaunee,54216
Live Oak Police Department,Local police department,TX,Bexar,Live Oak,78233
Prince Edward County Sheriff's Office,Sheriff's office,VA,Prince Edward,Farmville,23901
Lower Southampton Township Police Department,Local police department,PA,Bucks,Feasterville Trevose,19053
Macomb Community College Police Department,Special jurisdiction,MI,Macomb,Warren,48088
Dickinson Police Department,Local police department,TX,Galveston,Dickinson,77539
Union County Sheriff's Office,Sheriff's office,AR,Union,El Dorado,71730
Warrenville Police Dept,Local police department,IL,Du Page,Warrenville,60555
Ashtabula Police Department,Local police department,OH,Ashtabula,Ashtabula,44004
Fayette County Sheriff's Office,Sheriff's office,WV,Fayette,Fayetteville,25840
Moon Township Police Department,Local police department,PA,Allegheny,Coraopolis,15108
Maplewood Police Department,Local police department,MO,St. Louis,Maplewood,63143
Leander Police Department,Local police department,TX,Williamson,Leander,78641
Northern Regional Police Department of Allegheny County,Local police department,PA,Allegheny,Wexford,15090
Warren Township Police Department,Local police department,NJ,Somerset,Warren,07059
Adams County Sheriff's Office,Sheriff's office,MS,Adams,Natchez,39120
Wyoming County Sheriff's Office,Sheriff's office,NY,Wyoming,Warsaw,14569
Mineral Wells Police Department,Local police department,TX,Palo Pinto,Mineral Wells,76067
University Heights Police Department,Local police department,OH,Cuyahoga,University Heights,44118
Berea Police Department,Local police department,KY,Madison,Berea,40403
Lebanon Police Department,Local police department,MO,Laclede,Lebanon,65536
Scottsbluff Police Dept,Local police department,NE,Scotts Bluff,Scottsbluff,69361
Marquette Police Department,Local police department,MI,Marquette,Marquette,49855
Gloucester City Police,Local police department,NJ,Camden,Gloucester City,08030
Broadview Heights Police Department,Local police department,OH,Cuyahoga,Broadview Heights,44147
Southern Pines Police Department,Local police department,NC,Moore,Southern Pines,28388
Hastings Police Department,Local police department,MN,Dakota,Hastings,55033
Campbell County Sheriff's Office,Sheriff's office,TN,Campbell,Jacksboro,37757
Hermitage Police Department,Local police department,PA,Mercer,Hermitage,16148
Marion Police Dept,Local police department,IL,Williamson,Marion,62959
Springfield Township Police Department,Local police department,PA,Montgomery,Wyndmoor,19038
Rockbridge County Sheriff's Office,Sheriff's office,VA,Rockbridge,Lexington,24450
Berks-Lehigh Regional Police Department,Local police department,PA,Berks,Kutztown,19530
Tulalip Tribal Police,Local police department,WA,Snohomish,Tulalip,98271
Elbert County Sheriff's Office,Sheriff's office,GA,Elbert,Elberton,30635
De Pere Police Department,Local police department,WI,Brown,De Pere,54115
Stony Point Town Police Department,Local police department,NY,Rockland,Stony Point,10980
North Aurora Police Dept,Local police department,IL,Kane,North Aurora,60542
Sharon Police Department,Local police department,MA,Norfolk,Sharon,02067
Westborough Police Department,Local police department,MA,Worcester,Westboro,01581
Sheridan Police Department,Local police department,WY,Sheridan,Sheridan,82801
Garrett County Sheriff's Office,Sheriff's office,MD,Garrett,Oakland,21550
Del Norte County Sheriff's Office,Sheriff's office,CA,Del Norte,Crescent City,95531
Carroll County Sheriff's Office,Sheriff's office,VA,Carroll,Hillsville,24343
Yorkville Police Dept,Local police department,IL,Kendall,Yorkville,60560
Leland Police Department,Local police department,NC,Brunswick,Leland,28451
Lyndhurst Police Department,Local police department,OH,Cuyahoga,Lyndhurst,44124
Luna County Sheriff's Office,Sheriff's office,NM,Luna,Deming,88030
West St. Paul Police Department,Local police department,MN,Dakota,West St. Paul,55118
Brenham Police Department,Local police department,TX,Washington,Brenham,77834
Otero County Sheriff's Office,Sheriff's office,NM,Otero,Alamogordo,88310
Whitpain Township Police Department,Local police department,PA,Montgomery,Blue Bell,19422
Canton Police Department,Local police department,MS,Madison,Canton,39046
Richmond Police Department,Local police department,TX,Fort Bend,Richmond,77469
Okanogan County Sheriff's Office,Sheriff's office,WA,Okanogan,Okanogan,98840
Dixie County Sheriff's Office,Sheriff's office,FL,Dixie,Cross City,32628
Avon Police Department,Local police department,OH,Lorain,Avon,44011
Northampton County Sheriff's Office,Sheriff's office,NC,Northampton,Jackson,27845
Lafayette County Sheriff's Office,Sheriff's office,MO,Lafayette,Lexington,64067
Anson County Sheriff's Office,Sheriff's office,NC,Anson,Wadesboro,28170
Lake St. Louis Police Department,Local police department,MO,St. Charles,Lake St Louis,63367
Swansea Police Department,Local police department,MA,Bristol,Swansea,02777
Newberry Police Department,Local police department,SC,Newberry,Newberry,29108
Lonoke County Sheriff's Office,Sheriff's office,AR,Lonoke,Lonoke,72086
Missouri Capitol Police,Special jurisdiction,MO,Cole,Jefferson City,65102
Vandalia Police Department,Local police department,OH,Montgomery,Vandalia,45377
Ogle County Sheriff's Office,Sheriff's office,IL,Ogle,Oregon,61061
Lantana Police Department,Local police department,FL,Palm Beach,Lantana,33462
Helena/West Helena Police Department,Local police department,AR,Phillips,West Helena,72390
Crawford County Sheriff's Office,Sheriff's office,WI,Crawford,Prairie Du Chien,53821
Summit County Metro Parks Ranger Dept,Special jurisdiction,OH,Summit,Akron,44313
Hazel Crest Police Dept,Local police department,IL,Cook,Hazel Crest,60429
Portsmouth Police Department,Local police department,RI,Newport,Portsmouth,02871
University of New Orleans Police Dept.,Special jurisdiction,LA,Orleans,New Orleans,70148
Warren County Sheriff's Office,Sheriff's office,NC,Warren,Warrenton,27589
Kentucky Alcoholic Beverage Control,Special jurisdiction,KY,Franklin,Frankfort,40601
Texas State Fire Marshal's Office,Special jurisdiction,TX,Travis,Austin,78714
Milford Police Department,Local police department,DE,Kent,Milford,19963
Oak Forest Hospital Police Dept,Special jurisdiction,IL,Cook,Oak Forest,60452
Cottonwood Police Department,Local police department,AZ,Yavapai,Cottonwood,86326
Socorro I.S.D. Police Dept.,Special jurisdiction,TX,El Paso,El Paso,79936
Madison County Sheriff's Office,Sheriff's office,OH,Madison,London,43140
Andalusia Police Dept.,Local police department,AL,Covington,Andalusia,36420
Ukiah Police Department,Local police department,CA,Mendocino,Ukiah,95482
Los Rios Community College District Police,Special jurisdiction,CA,Sacramento,Sacramento,95822
San Luis Police Department,Local police department,AZ,Yuma,San Luis,85349
Pitt County Memorial Hospital Police Dept,Special jurisdiction,NC,Pitt,Greenville,27835
Greenville Police Department,Local police department,AL,Butler,Greenville,36037
White Mountain Apache Tribal Police Department,Local police department,AZ,Navajo,Whiteriver,85941
Greenbrier County Sheriff's Office,Sheriff's office,WV,Greenbrier,Lewisburg,24901
Florence Police Department,Local police department,AZ,Pinal,Florence,85232
University of Utah Police Dept,Special jurisdiction,UT,Salt Lake,Salt Lake City,84112
Tolleson Police Department,Local police department,AZ,Maricopa,Tolleson,85353
Gulfport Police Department,Local police department,FL,Pinellas,Gulfport,33707
CUNY York College Police,Special jurisdiction,NY,Queens,Jamaica,11451
Baton Rouge Airport Police,Special jurisdiction,LA,East Baton Rouge,Baton Rouge,70807
Irwindale Police Department,Local police department,CA,Los Angeles,Irwindale,91706
Floyd County Sheriff's Office,Sheriff's office,IN,Floyd,New Albany,47151
Bonney Lake Police Department,Local police department,WA,Pierce,Bonney Lake,98390
University of North Carolina - Greensboro Police Dept.,Special jurisdiction,NC,Guilford,Greensboro,27402
Orleans Levee District Police,Special jurisdiction,LA,Orleans,New Orleans,70122
Tiffin Police Department,Local police department,OH,Seneca,Tiffin,44883
Audrain County Sheriff's Office,Sheriff's office,MO,Audrain,Mexico,65265
Frankfort Police Dept,Local police department,IL,Will,Frankfort,60423
Pell City Police Department,Local police department,AL,St. Clair,Pell City,35125
Edgewater Police Department,Local police department,FL,Volusia,Edgewater,32132
Huntley Police Dept,Local police department,IL,McHenry,Huntley,60142
Connecticut State Capitol Police Department,Special jurisdiction,CT,Hartford,Hartford,06106
University of Nebraska - Lincoln Police Dept,Special jurisdiction,NE,Lancaster,Lincoln,68588
Shelby County Sheriff's Office,Sheriff's office,OH,Shelby,Sidney,45365
Marina Police Department,Local police department,CA,Monterey,Marina,93933
Show Low Police Department,Local police department,AZ,Navajo,Show Low,85901
Madison County Sheriff's Office,Sheriff's office,NY,Madison,Wampsville,13163
Meriwether County Sheriff's Office,Sheriff's office,GA,Meriwether,Greenville,30222
Allegheny Co District Attorneys Office,Special jurisdiction,PA,Allegheny,Pittsburgh,15216
College of Charleston Public Safety,Special jurisdiction,SC,Charleston,Charleston,29424
Midlothian Police Department,Local police department,TX,Ellis,Midlothian,76065
Macomb Police Dept,Local police department,IL,McDonough,Macomb,61455
Dickinson Police Department,Local police department,ND,Stark,Dickinson,58601
Franklin Township Police,Local police department,NJ,Gloucester,Franklinville,08322
Riverview Police Department,Local police department,MI,Wayne,Riverview,48193
Jackson County Sheriff's Office,Sheriff's office,AL,Jackson,Scottsboro,35768
Craighead County Sheriff's Office,Sheriff's office,AR,Craighead,Jonesboro,72401
Petal Police Department,Local police department,MS,Forrest,Petal,39465
Mountlake Terrace Police Department,Local police department,WA,Snohomish,Mountlake Terrace,98043
Corinth Police Department,Local police department,TX,Denton,Corinth,76210
Williamson County Sheriff's Office,Sheriff's office,IL,Williamson,Marion,62959
East Grand Rapids Dept of Public Safety,Local police department,MI,Kent,Grand Rapids,49506
Wadsworth Police Department,Local police department,OH,Medina,Wadsworth,44281
Ulster Town Police Department,Local police department,NY,Ulster,Lake Katrine,12449
West Caldwell Police,Local police department,NJ,Essex,West Caldwell,07006
Marshall County Sheriff's Office,Sheriff's office,MS,Marshall,Holly Springs,38634
West Linn Police Department,Local police department,OR,Clackamas,West Linn,97068
Red Wing Police Department,Local police department,MN,Goodhue,Red Wing,55066
Box Elder County Sheriff's Office,Sheriff's office,UT,Box Elder,Brigham City,84302
Phelps County Sheriff's Office,Sheriff's office,MO,Phelps,Rolla,65401
Grand Chute Police Department,Local police department,WI,Outagamie,Appleton,54913
Stephenson County Sheriff's Office,Sheriff's office,IL,Stephenson,Freeport,61032
El Campo Police Department,Local police department,TX,Wharton,El Campo,77437
Crestwood Police Department,Local police department,MO,St. Louis,Crestwood,63126
Watchung Police,Local police department,NJ,Somerset,Watchung,07069
Sycamore Police Dept.,Local police department,IL,DeKalb,Sycamore,60178
Mount Pleasant Police Department,Local police department,TX,Titus,Mt. Pleasant,75455
Edgefield County Sheriff's Office,Sheriff's office,SC,Edgefield,Edgefield,29824
Beaver Dam Police Department,Local police department,WI,Dodge,Beaver Dam,53916
Atascosa County Sheriff's Office,Sheriff's office,TX,Atascosa,Jourdanton,78026
Golden Valley Police Department,Local police department,MN,Hennepin,Golden Valley,55427
Mount Holly Police Department,Local police department,NC,Gaston,Mount Holly,28120
Niskayuna Town Police Department,Local police department,NY,Schenectady,Niskayuna,12309
Avon Lake Police Department,Local police department,OH,Lorain,Avon Lake,44012
Marinette County Sheriff's Office,Sheriff's office,WI,Marinette,Marinette,54143
Universal City Police Department,Local police department,TX,Bexar,Universal City,78148
Halifax County Sheriff's Office,Sheriff's office,VA,Halifax,Halifax,24558
Burke County Sheriff's Office,Sheriff's office,GA,Burke,Waynesboro,30830
North Reading Police Department,Local police department,MA,Middlesex,North Reading,01864
Bellefontaine Neighbors Police Department,Local police department,MO,St. Louis,Bellefontaine Neighbors,63137
Livingston County Sheriff's Office,Sheriff's office,IL,Livingston,Pontiac,61764
Shelby County Sheriff's Office,Sheriff's office,IN,Shelby,Shelbyville,46176
Scott County Sheriff's Office,Sheriff's office,TN,Scott,Huntsville,37756
Muhlenberg Township Police Department,Local police department,PA,Berks,Temple,19560
Douglas County Sheriff's Office,Sheriff's office,WA,Douglas,E Wenatchee,98802
Fredericksburg Police Department,Local police department,TX,Gillespie,Fredericksburg,78624
Peru Police,Local police department,IN,Miami,Peru,46970
Albert Lea Police Department,Local police department,MN,Freeborn,Albert Lea,56007
Lebanon Police,Local police department,IN,Boone,Lebanon,46052
Independence Police Department,Local police department,KY,Kenton,Independence,41051
Jones County Sheriff's Office,Sheriff's office,MS,Jones,Laurel,39441
Adams County Sheriff's Office,Sheriff's office,IL,Adams,Quincy,62301
Connersville Police,Local police department,IN,Fayette,Connersville,47331
Menasha Police Department,Local police department,WI,Winnebago,Menasha,54952
Henry County Sheriff's Office,Sheriff's office,IN,Henry,New Castle,47362
Hillsdale County Sheriff's Office,Sheriff's office,MI,Hillsdale,Hillsdale,49242
Westport Police Department,Local police department,MA,Bristol,Westport,02790
South Houston Police Department,Local police department,TX,Harris,South Houston,77587
Highland Village Police Department,Local police department,TX,Denton,Highland Village,75077
Athens Police Department,Local police department,TN,McMinn,Athens,37303
Green River Police Dept,Local police department,WY,Sweetwater,Green River,82935
Greendale Police Department,Local police department,WI,Milwaukee,Greendale,53129
North Wildwood Police,Local police department,NJ,Cape May,North Wildwood,08260
San Benito County Sheriff's Office,Sheriff's office,CA,San Benito,Hollister,95023
White Bear Lake Police Department,Local police department,MN,Ramsey,White Bear Lake,55110
Chilton County Sheriff's Office,Sheriff's office,AL,Chilton,Clanton,35045
Mission Police Department,Local police department,KS,Johnson,Mission,66202
Polk County Sheriff's Office,Sheriff's office,WI,Polk,Balsam Lake,54810
Hall County Sheriff's Office,Sheriff's office,NE,Hall,Grand Island,68801
Summit Police Dept,Local police department,IL,Cook,Summit,60501
Orleans County Sheriff's Office,Sheriff's office,NY,Orleans,Albion,14411
Montgomery Township Police,Local police department,NJ,Somerset,Belle Mead,08502
Hanover Police Department,Local police department,MA,Plymouth,Hanover,02339
Batavia Police Department,Local police department,NY,Genesee,Batavia,14020
Ohio County Sheriff's Office,Sheriff's office,WV,Ohio,Wheeling,26003
Lincoln County Sheriff's Office,Sheriff's office,WI,Lincoln,Merrill,54452
Isleta Tribal Police Department,Local police department,NM,Valencia,Isleta,87022
Morgan County Sheriff's Office,Sheriff's office,GA,Morgan,Madison,30650
Delhi Township Police Department,Local police department,OH,Hamilton,Cincinnati,45233
Tulsa Airport Police Dept.,Special jurisdiction,OK,Tulsa,"Tulsa,",74158
Charleston County Aviation Authority,Special jurisdiction,SC,Charleston,Charleston,29418
Jesup Police Department,Local police department,GA,Wayne,Jesup,31545
Burr Ridge Police Dept,Local police department,IL,Du Page,Burr Ridge,60527
University of California - Riverside Police,Special jurisdiction,CA,Riverside,Riverside,92521
Dayton International Airport Police Dept,Special jurisdiction,OH,Montgomery,Vandalia,45377
Seal Beach Police Department,Local police department,CA,Orange,Seal Beach,90740
Pooler Police Department,Local police department,GA,Chatham,Pooler,31322
Lee County Sheriff's Office,Sheriff's office,IL,Lee,Dixon,61021
Pike County Sheriff's Office,Sheriff's office,GA,Pike,Zebulon,30295
Pickaway County Sheriff's Office,Sheriff's office,OH,Pickaway,Circleville,43113
Crescent City Connection Police Dept,Special jurisdiction,LA,Orleans,New Orleans,70174
King George County Sheriff's Office,Sheriff's office,VA,King George,King George,22485
Medical Center of Central Georgia Police,Special jurisdiction,GA,Bibb,Macon,31208
Hillside Police Dept,Local police department,IL,Cook,Hillside,60162
Ravalli County Sheriff's Office,Sheriff's office,MT,Ravalli,Hamilton,59840
Dearborn County Sheriff's Office,Sheriff's office,IN,Dearborn,Lawrenceburg,47025
Texas State University at San Marcos Police Department,Special jurisdiction,TX,Hays,San Marco,78666
Hickory Hills Police Dept,Local police department,IL,Cook,Hickory Hills,60457
Park City Police Department,Local police department,UT,Summit,Park City,84068
Raleigh-Durham International Airport Police Dept,Special jurisdiction,NC,Wake,Rdu Airport,27623
Valley County Sheriff's Office,Sheriff's office,ID,Valley,Cascade,83611
Fitzgerald Police Department,Local police department,GA,Ben Hill,Fitzgerald,31750
Thomaston Police Department,Local police department,GA,Upson,Thomaston,30286
Hardin County Sheriff's Office,Sheriff's office,TX,Hardin,Kountze,77625
Marion County Sheriff's Office,Sheriff's office,OH,Marion,Marion,43302
Holly Hill Police Department,Local police department,FL,Volusia,Holly Hill,32117
Western Michigan University Police Department,Special jurisdiction,MI,Kalamazoo,Kalamazoo,49006
Bensenville Police Dept,Local police department,IL,Du Page,Bensenville,60106
Evans Police Department,Local police department,CO,Weld,Evans,80620
Forest Grove Police Department,Local police department,OR,Washington,Forest Grove,97116
Miami County Sheriff's Office,Sheriff's office,KS,Miami,Paola,66071
Reedley Police Department,Local police department,CA,Fresno,Reedley,93654
Los Altos Police Department,Local police department,CA,Santa Clara,Los Altos,94022
Mississippi County Sheriff's Office,Sheriff's office,AR,Mississippi,Luxora,72358
West Paterson Borough,Local police department,NJ,Passaic,West Paterson,07424
Shively Police Department,Local police department,KY,Jefferson,Shively,40216
Hartselle Police Department,Local police department,AL,Morgan,Hartselle,35640
Dobbs Ferry Village Police Department,Local police department,NY,Westchester,Dobbs Ferry,10522
University of Arkanasas - Fayetteville Police,Special jurisdiction,AR,Washington,Fayetteville,72701
Hopatcong Borough Police,Local police department,NJ,Sussex,Hopatcong,07843
Pine County Sheriff's Office,Sheriff's office,MN,Pine,Pine City,55063
Gates Town Police Department,Local police department,NY,Monroe,Rochester,14624
Hercules Police Department,Local police department,CA,Contra Costa,Hercules,94547
Cranberry Township Police Department,Local police department,PA,Butler,Cranberry Twp,16066
Rye Brook Village Police Department,Local police department,NY,Westchester,Rye Brook,10573
Lady Lake Police Department,Local police department,FL,Lake,Lady Lake,32159
Little Ferry Borough Police,Local police department,NJ,Bergen,Little Ferry,07643
Comanche County Sheriff's Office,Sheriff's office,OK,Comanche,Lawton,73501
Depew Village Police Department,Local police department,NY,Erie,Depew,14043
McCandless Township Police Department,Local police department,PA,Allegheny,Wexford,15090
Pleasant Prairie Police Department,Local police department,WI,Kenosha,Pleasant Prairie,53158
Danville Police Department,Local police department,KY,Boyle,Danville,40422
University of Tennessee at Memphis Police,Special jurisdiction,TN,Shelby,Memphis,38163
Ben Hill County Sheriff's Office,Sheriff's office,GA,Ben Hill,Fitzgerald,31750
Montcalm County Sheriff's Office,Sheriff's office,MI,Montcalm,Stanton,48888
Tonawanda Police Department,Local police department,NY,Erie,Tonawanda,14150
Mukilteo Police Department,Local police department,WA,Snohomish,Mukilteo,98275
Hillsborough Police Department,Local police department,NC,Orange,Hillsborough,27278
Newport Police Department,Local police department,TN,Wayne,Newport,37822
Lyons Police Dept,Local police department,IL,Cook,Lyons,60534
Stevens County Sheriff's Office,Sheriff's office,WA,Stevens,Colville,99114
Franklin County Sheriff's Office,Sheriff's office,KS,Franklin,Ottawa,66067
Bel Air Police Department,Local police department,MD,Harford,Bel Air,21014
Festus Police Department,Local police department,MO,Jefferson,Festus,63028
Ashland Police Department,Local police department,OH,Ashland,Ashland,44805
Midlothian Police Dept,Local police department,IL,Cook,Midlothian,60445
Waveland Police Department,Local police department,MS,Hancock,Waveland,39576
Leesville Police Department,Local police department,LA,Vernon,Leesville,71496
Boone County Sheriff's Office,Sheriff's office,IN,Boone,Lebanon,46052
Wilbraham Police Department,Local police department,MA,Hampden,Wilbraham,01095
Bexley Police Department,Local police department,OH,Franklin,Bexley,43209
Pullman Police Department,Local police department,WA,Whitman,Pullman,99163
Glenn County Sheriff's Office,Sheriff's office,CA,Glenn,Willows,95988
Sudbury Police Department,Local police department,MA,Middlesex,Sudbury,01776
Bedford Police Department,Local police department,MA,Middlesex,Bedford,01730
Pulaski Police Department,Local police department,VA,Pulaski,Pulaski,24301
Ridgefield Police,Local police department,NJ,Bergen,Ridgefield,07657
Union County Sheriff's Office,Sheriff's office,MS,Union,New Albany,38652
Elbert County Sheriff's Office,Sheriff's office,CO,Elbert,Kiowa,80117
Lamar County Sheriff's Office,Sheriff's office,GA,Lamar,Barnesville,30204
Hooksett Police Department,Local police department,NH,Merrimack,Hooksett,03106
Caldwell Parish Sheriff's Office,Sheriff's office,LA,Caldwell,Columbia,71418
South Hadley Police Department,Local police department,MA,Hampshire,South Hadley,01075
East Norriton Township Police Department,Local police department,PA,Montgomery,Norristown,19401
Roanoke Police Department,Local police department,TX,Denton,Roanoke,76262
Frankfort Police,Local police department,IN,Clinton,Frankfort,46041
Verona Police,Local police department,NJ,Essex,Verona,07044
Blue Earth County Sheriff's Office,Sheriff's office,MN,Blue Earth,Mankato,56001
White County Sheriff's Office,Sheriff's office,TN,White,Sparta,38583
Mint Hill Police Department,Local police department,NC,Mecklenburg,Mint Hill,28227
Carolina Beach Police Department,Local police department,NC,New Hanover,Carolina Beach,28428
Berkley Dept of Public Safety,Local police department,MI,Oakland,Berkley,48072
Lincoln County Sheriff's Office,Sheriff's office,ME,Lincoln,Wiscasset,04578
Totowa Police,Local police department,NJ,Passaic,Totowa,07512
Okmulgee Police Department,Local police department,OK,Okmulgee,Okmulgee,74447
New Brighton Dept of Public Safety,Local police department,MN,Ramsey,New Brighton,55112
Lebanon Police Department,Local police department,OH,Warren,Lebanon,45036
Silver City Police Department,Local police department,NM,Grant,Silver City,88061
Bandera County Sheriff's Office,Sheriff's office,TX,Bandera,Bandera,78003
Spanish Fork Police Department,Local police department,UT,Utah,Spanish Fork,84660
Caswell County Sheriff's Office,Sheriff's office,NC,Caswell,Yanceyville,27379
Merriam Police Department,Local police department,KS,Johnson,Merriam,66202
Hudson Police Department,Local police department,OH,Summit,Hudson,44236
North Huntingdon Township Police Department,Local police department,PA,Westmoreland,Irwin,15642
Pelham Village Police Department,Local police department,NY,Westchester,Pelham,10803
Alamo Police Department,Local police department,TX,Hidalgo,Alamo,78516
Ashland Police Department,Local police department,MA,Middlesex,Ashland,01721
Newtown Township Police Department,Local police department,PA,Bucks,Newtown,18940
New Kent County Sheriff's Office,Sheriff's office,VA,New Kent,New Kent,23124
Ladue Police Department,Local police department,MO,St. Louis,St Louis,63124
Roseland Borough Police,Local police department,NJ,Essex,Roseland,07068
Laurens Police Department,Local police department,SC,Laurens,Laurens,29360
Seminole County Sheriff's Office,Sheriff's office,OK,Seminole,Wewoka,74884
Norton Shores Police Department,Local police department,MI,Muskegon,Muskegon,49441
Jacksonville Police Department,Local police department,TX,Cherokee,Jacksonville,75766
Brookings Police Department,Local police department,SD,Brookings,Brookings,57006
Lee County Sheriff's Office,Sheriff's office,SC,Lee,Bishopville,29010
Haddon Township Police,Local police department,NJ,Camden,Westmont,08108
Fuquay Varina Police Department,Local police department,NC,Wake,Fuquay Varina,27526
Lawrence County Sheriff's Office,Sheriff's office,OH,Lawrence,Ironton,45638
Hill County Sheriff's Office,Sheriff's office,TX,Hill,Hillsboro,76645
Spring Township Police Department,Local police department,PA,Berks,Reading,19608
Amite Police Department,Local police department,LA,Tangipahoa,Amite,70422
Emporia Police Department,Local police department,VA,Greensville,Emporia,23847
Blackman Township Dept of Public Safety,Local police department,MI,Jackson,Jackson,49201
Giles County Sheriff's Office,Sheriff's office,TN,Giles,Pulaski,38478
South Sioux City Police Dept,Local police department,NE,Dakota,South Sioux City,68776
West Whiteland Township Police Department,Local police department,PA,Chester,Exton,19341
York Police Department,Local police department,SC,York,York,29745
Bellingham Police Department,Local police department,MA,Norfolk,Bellingham,02019
Jamestown Police Department,Local police department,ND,Stutsman,Jamestown,58401
Christian County Sheriff's Office,Sheriff's office,KY,Christian,Hopkinsville,42240
Mount Vernon Police Department,Local police department,OH,Knox,Mt Vernon,43050
Kelso Police Department,Local police department,WA,Cowlitz,Kelso,98626
Freeport Police Department,Local police department,TX,Brazoria,Freeport,77541
Alexander County Sheriff's Office,Sheriff's office,NC,Alexander,Taylorsville,28681
Yakama Nation Tribal Police,Local police department,WA,Yakima,Toppenish,98948
La Marque Police Department,Local police department,TX,Galveston,La Marque,77568
Dyer County Sheriff's Office,Sheriff's office,TN,Dyer,Dyersburg,38024
Goffstown Police Department,Local police department,NH,Hillsborough,Goffstown,03045
Pelham Manor Village Police Department,Local police department,NY,Westchester,Pelham Manor,10803
Wytheville Police Department,Local police department,VA,Wythe,Wytheville,24382
Mandan Police Department,Local police department,ND,Morton,Mandan,58554
Crystal Police Department,Local police department,MN,Hennepin,Crystal,55422
Metuchen Police,Local police department,NJ,Middlesex,Metuchen,08840
Montezuma County Sheriff's Office,Sheriff's office,CO,Montezuma,Cortez,81321
Miami University Police Department,Special jurisdiction,OH,Butler,Oxford,45056
